Account|DocYYMM|SalesTax|Taxable|NonTax|Exempt
1000082|2205|7.5600|125.9400|.0000|.0000
1000166|2309|1470.7600|24512.3800|.0000|.0000
1000054|2407|11.6700|194.5000|-2.4700|.0000
1000092|2009|1428.1900|23803.2400|.0000|.0000
1000084|2207|92.0000|1533.3800|.0000|.0000
1000104|2203|152.5800|2542.8600|.0000|.0000
1000018|2303|4.1800|69.5800|.0000|.0000
1000192|2212|37.8600|630.9000|.0000|.0000
1000186|2106|1.1100|18.4100|.0000|.0000
DAVID HALL|2211|.7000|11.6600|.0000|.0000
TIMMARTIN|2101|58.9000|981.7200|.0000|.0000
NATHANIELB|2107|-2263.4200|.0000|.0000|.0000
1000124|2405|4.4300|73.8300|.0000|.0000
CESMITHSON|2004|181.2300|3020.4200|.0000|.0000
1000150|2303|6832.0600|113867.8400|1500.0000|.0000
1000031|2503|20.2900|337.9800|.0000|.0000
1000099|2409|2.6300|43.7700|.0000|.0000
1000083|2108|5.0700|84.4600|.0000|.0000
1000186|2104|3.1700|52.7100|.0000|.0000
HARRYOWEN|2209|65.1100|1085.2300|.0000|.0000
KHICONST|2209|1434.4500|23907.4400|.0000|.0000
MICHAELING|2409|5.4600|90.9500|.0000|.0000
1000117|2407|22.6700|377.9400|.0000|.0000
10000111|2308|1.9900|33.2000|.0000|.0000
1000220|2112|51.5700|859.6700|.0000|.0000
1000171|2307|73.6600|1227.7600|.0000|.0000
1000110|2211|1.4600|24.4600|.0000|.0000
1000104|2507|3.4500|57.5300|.0000|.0000
1000148|2201|248.7000|4145.0800|.0000|.0000
1000148|2303|4106.2300|68437.4200|.0000|.0000
1000254|2407|317.7100|5295.1600|.0000|.0000
1000084|2011|34.5200|575.3800|.0000|.0000
1000170|2402|272.7000|4545.0000|.0000|.0000
1000068|2404|2.1000|34.9300|.0000|.0000
1000210|2206|554.6600|9244.3400|.0000|.0000
1000070|2309|4.8400|81.0500|.0000|.0000
1000154|2305|.7400|12.3400|.0000|.0000
1000119|2403|4932.6700|82211.1100|.0000|.0000
1000048|2402|.3000|4.8300|.0000|.0000
1000130|2005|1607.6500|26794.2200|.0000|.0000
1000152|2410|.5600|9.3900|.0000|.0000
1000120|2107|-882.7500|1630.5300|.0000|.0000
1000119|2109|2566.4900|42774.7400|.0000|.0000
DAVID HALL|2301|.3900|6.5600|.0000|.0000
1000120|2408|1.7100|28.5700|.0000|.0000
1000077|2511|84.6500|1410.9700|.0000|.0000
1000119|2107|2492.6700|41544.6300|.0000|.0000
1000287|2506|.0000|.0000|.0000|.0000
1000124|2010|1162.6800|19377.8400|.0000|.0000
